feature,importance
num__shock_index,0.054726066209365445
bin__hypoxia_flag,0.04546765765051727
num__heart_rate,0.04150166211771611
num__oxygen_saturation,0.037632383607818634
num__respiratory_rate,0.03332117772519409
num__systolic_bp,0.032968457394109314
num__diastolic_bp,0.02940500569294787
bin__kw_vomiting,0.028376495462358597
num__pain_score,0.026877743083993932
bin__hypotension_flag,0.02625549567713727
num__age,0.02306834839980787
num__temperature,0.021963639099371653
bin__fever_flag,0.01509554105859909
txt__medication,0.012059301185266021
txt__medication refill,0.010937523253891846
txt__and,0.010859955394043608
txt__refill request,0.01037970584413162
cat__sex_Male,0.010034702895463085
cat__sex_Female,0.009469809728302914
txt__request,0.009422085205806466
txt__refill,0.009067287194607448
txt__administrative medical,0.00853661817912299
txt__clearance,0.008234864425513253
txt__medical,0.008030872287147108
txt__with,0.007521040761010644
txt__stable,0.007132326085247085
txt__medical clearance,0.007130097102552593
txt__syncope and,0.006920256319341639
txt__administrative,0.006735689964154659
txt__asthma exacerbation,0.006489234234530007
